index,pid,Minutes,Goals,Assists,Attempt on Goal,Key Pass,Accurate Key Passes,On Target,Attempts inside the Box,Attempts outside the Box,Attempts Off Target,Cross,Passes,Accurate Passes,Air Challange,Won Air Challange,Ground Challenges,Won Ground Challenges,Dribbles,Successful Dribbles,Tackles,Successful Tackles,Ball Recoveries,Ball Recoveries in Opponents Half,Ball Recoveries in Own Half,Blocked Attempts on Goal,Lost Ball,Lost Ball own half,Own Goal,Penalty Miss,Yellow Card,Red Card,Fouls,Opponent Fouls,Offside,Appearances,Sub Out,Sub In,Coped Goals,Stops,Clean Net,Threat Denied by Goalkeeper,Goalie Mistake,Penalty Goals,Penalties Coped,Season,Gameweek
11,45699,103,1,0,5,1,0,4,4,1,1,0,17,14,6,0,10,4,5,3,1,0,0,0,0,0,5,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
12,18846,103,1,0,4,0,0,2,4,0,2,0,21,12,13,7,13,3,4,0,1,0,3,1,2,0,19,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,19/20,1
13,14433,103,0,0,0,0,0,0,0,0,0,0,39,38,1,1,5,3,1,1,3,1,6,1,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
14,12912,103,0,0,0,0,0,0,0,0,0,0,37,26,0,0,0,0,0,0,0,0,7,0,7,0,8,0,0,0,1,0,0,0,0,1,0,0,2,5,0,0,0,0,0,19/20,1
15,444615,100,1,0,1,1,1,1,1,0,0,1,19,12,1,0,8,3,1,1,1,0,1,1,0,0,8,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
16,430404,100,0,0,0,1,0,0,0,0,0,0,22,16,2,1,16,10,6,2,8,6,5,0,5,0,8,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
17,403068,100,0,0,1,1,1,0,1,0,1,2,77,72,7,3,6,4,0,0,6,4,5,2,3,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
18,402798,100,0,0,0,0,0,0,0,0,0,0,25,22,1,1,2,1,0,0,1,0,2,0,2,0,2,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,19/20,1
19,378384,100,0,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0,6,0,6,0,3,0,0,0,0,0,0,0,0,1,0,0,4,6,0,0,0,0,0,19/20,1
20,340791,100,0,0,1,1,0,0,0,0,0,1,79,71,2,2,13,7,6,5,6,2,4,2,2,0,5,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
21,336147,100,0,0,2,2,1,0,2,0,2,6,58,52,3,0,9,4,3,2,3,1,0,0,0,0,7,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,19/20,1
22,327390,100,0,0,1,0,0,0,1,0,0,0,27,24,2,1,7,6,0,0,2,2,7,0,7,0,3,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
23,296664,100,1,0,2,2,1,1,1,1,1,2,69,65,0,0,5,2,1,1,2,1,3,1,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
24,211122,100,1,0,1,0,0,1,1,0,0,0,84,78,4,4,6,5,1,1,1,1,11,0,11,1,2,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
25,158682,100,0,0,0,0,0,0,0,0,0,0,25,24,0,0,0,0,0,0,0,0,6,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,1,19/20,1
26,69885,100,0,0,0,0,0,0,0,0,0,0,18,15,0,0,1,0,0,0,0,0,4,0,4,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
27,68862,100,0,0,2,0,0,1,2,0,0,6,66,55,5,2,7,4,3,1,1,0,5,2,3,1,3,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
28,46218,100,1,0,3,0,0,2,2,1,1,1,22,18,3,2,6,5,2,2,2,1,3,0,3,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
29,45894,100,0,0,0,1,0,0,0,0,0,0,27,20,3,3,10,5,1,1,4,2,4,0,4,0,7,1,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,19/20,1
30,11253,100,2,1,8,1,1,6,8,0,2,1,13,11,0,0,4,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,19/20,1
31,494256,99,0,0,0,0,0,0,0,0,0,1,27,21,3,1,10,5,1,0,2,0,0,0,0,0,8,2,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,19/20,1
32,416415,99,0,0,0,0,0,0,0,0,0,0,32,30,2,1,16,13,1,0,5,5,9,1,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
33,411501,99,0,0,2,0,0,1,0,0,1,0,47,43,7,1,17,14,2,2,10,9,4,1,3,0,4,1,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,19/20,1
34,394341,99,0,0,0,0,0,0,0,0,0,2,63,51,4,3,16,12,4,1,4,4,8,2,6,1,13,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
35,365556,99,0,0,0,1,0,0,0,0,0,6,41,29,4,2,6,3,0,0,3,2,4,0,4,0,9,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
36,340839,99,0,1,0,2,0,0,0,0,0,0,91,86,2,2,5,3,0,0,3,2,8,1,7,2,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
37,331500,99,0,0,1,0,0,0,1,0,1,0,58,51,11,10,3,3,0,0,2,2,9,0,9,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
38,331212,99,0,0,4,1,0,1,1,3,3,3,57,42,2,1,10,3,6,3,2,0,1,0,1,0,10,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,19/20,1
39,331155,99,0,0,0,0,0,0,0,0,0,1,34,27,4,3,12,6,1,0,5,2,2,0,2,0,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
40,327774,99,0,0,3,0,0,0,0,0,1,2,16,10,5,0,3,1,0,0,0,0,1,0,1,0,7,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,19/20,1
41,286047,99,0,0,0,0,0,0,0,0,0,0,31,25,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,1,19/20,1
42,247035,99,0,0,0,0,0,0,0,0,0,0,40,38,0,0,0,0,0,0,0,0,3,0,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
43,243000,99,0,0,0,0,0,0,0,0,0,0,110,108,4,2,3,2,0,0,0,0,7,2,5,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
44,193548,99,0,0,0,0,0,0,0,0,0,2,30,22,2,0,7,1,2,0,2,0,3,0,3,0,9,3,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
45,182136,99,0,0,1,0,0,0,0,0,0,0,27,22,4,2,11,4,0,0,4,3,4,1,3,0,6,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
46,177846,99,0,0,0,0,0,0,0,0,0,0,44,32,0,0,0,0,0,0,0,0,3,0,3,0,6,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,19/20,1
47,168966,99,0,0,3,0,0,1,1,2,1,0,65,62,2,0,8,4,1,1,3,2,3,2,1,0,2,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
48,163104,99,0,0,0,1,0,0,0,0,0,3,75,67,1,1,4,2,1,0,1,1,5,3,2,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
49,157365,99,0,0,0,0,0,0,0,0,0,0,39,33,1,1,5,2,0,0,2,2,5,0,5,0,5,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
50,72465,99,0,0,0,0,0,0,0,0,0,2,57,52,1,1,8,2,3,0,2,1,5,0,5,0,8,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
52,46551,99,0,0,0,0,0,0,0,0,0,2,58,46,2,0,14,6,3,1,6,3,4,1,3,0,6,2,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
53,46443,99,0,0,0,0,0,0,0,0,0,0,26,24,1,1,1,1,0,0,0,0,7,0,7,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
54,46320,99,0,0,0,0,0,0,0,0,0,0,28,23,3,3,0,0,0,0,0,0,7,1,6,2,4,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
55,46197,99,0,0,0,0,0,0,0,0,0,0,40,37,3,3,8,6,0,0,2,1,5,0,5,0,2,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
56,45759,99,0,0,1,0,0,0,0,0,1,3,16,8,2,1,11,4,7,3,1,1,1,0,1,0,12,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
57,28506,99,0,0,2,0,0,0,1,1,2,0,48,42,2,2,8,6,0,0,3,2,6,0,6,0,3,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
58,13953,99,0,0,0,0,0,0,0,0,0,1,46,37,6,5,19,9,2,0,7,5,8,1,7,0,9,2,0,0,1,0,5,3,0,1,0,0,0,0,0,0,0,0,0,19/20,1
59,13251,99,0,0,1,0,0,0,1,0,1,0,113,105,4,4,4,3,1,1,2,2,11,1,10,2,5,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
60,8226,99,0,0,1,0,0,1,1,0,0,1,30,27,2,1,9,3,2,2,2,0,2,1,1,0,4,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,19/20,1
61,7923,99,0,0,0,0,0,0,0,0,0,0,56,50,0,0,7,3,1,1,1,1,3,1,2,0,4,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,19/20,1
62,174690,98,0,0,0,2,0,0,0,0,0,0,32,26,4,2,26,9,5,3,2,2,2,0,2,0,12,2,0,0,0,1,4,4,1,1,0,0,0,0,0,0,0,0,0,19/20,1
63,449259,96,0,0,0,0,0,0,0,0,0,2,49,38,3,3,11,8,2,2,3,2,7,1,6,0,7,3,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,19/20,1
64,394101,96,0,0,0,0,0,0,0,0,0,1,27,21,11,3,16,3,1,0,3,0,0,0,0,0,12,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,19/20,1
65,385071,96,0,0,0,0,0,0,0,0,0,0,67,62,8,6,8,7,1,1,2,2,14,1,13,2,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
66,338208,96,0,0,0,0,0,0,0,0,0,0,32,27,0,0,0,0,0,0,0,0,4,0,4,0,3,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,19/20,1
67,331176,96,0,0,1,0,0,1,1,0,0,3,39,33,3,2,17,10,2,1,5,3,4,1,3,0,4,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
68,327831,96,0,0,0,1,1,0,0,0,0,0,50,43,2,0,6,2,1,0,4,1,5,1,4,0,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
69,228414,96,1,0,1,1,1,1,0,0,0,4,33,23,0,0,5,2,2,1,2,1,2,0,2,0,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
70,179112,96,0,1,1,0,0,0,0,0,0,0,39,33,5,3,12,7,4,3,3,1,7,2,5,0,6,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,19/20,1
71,178602,96,0,0,0,0,0,0,0,0,0,0,33,27,5,3,10,8,0,0,6,6,12,0,12,1,6,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
72,95478,96,0,0,4,0,0,1,3,1,2,1,21,20,3,0,15,6,5,3,3,2,5,2,3,0,9,1,0,0,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,19/20,1
73,62283,96,0,0,0,0,0,0,0,0,0,0,19,17,2,2,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,19/20,1
74,46980,96,0,0,0,0,0,0,0,0,0,0,40,34,1,0,6,6,2,2,3,3,10,0,10,2,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
75,46305,96,0,0,5,2,1,2,0,0,1,1,43,31,2,0,11,3,6,1,2,1,2,0,2,0,17,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
76,46035,96,0,0,1,0,0,1,1,0,0,2,21,15,4,2,13,6,3,2,4,2,4,1,3,0,6,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,19/20,1
77,45720,96,0,0,0,0,0,0,0,0,0,1,48,35,3,1,10,6,2,2,3,2,6,2,4,0,10,3,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
78,45717,96,0,0,1,0,0,1,1,0,0,1,36,29,7,6,5,4,0,0,4,3,9,1,8,1,2,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
79,493236,95,0,0,0,0,0,0,0,0,0,0,59,53,4,1,11,9,1,1,5,5,9,0,9,2,4,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
80,486096,95,0,0,0,0,0,0,0,0,0,1,46,40,2,1,8,3,1,0,3,2,3,1,2,0,4,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,19/20,1
81,475149,95,0,0,0,0,0,0,0,0,0,0,45,41,3,1,7,5,0,0,2,2,8,0,8,1,2,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
82,470916,95,0,0,0,0,0,0,0,0,0,0,56,54,1,1,11,8,5,5,3,2,2,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
83,431055,95,0,0,0,1,0,0,0,0,0,1,35,31,2,2,12,6,3,3,6,2,8,1,7,0,3,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
84,402873,95,0,0,0,0,0,0,0,0,0,0,26,19,0,0,0,0,0,0,0,0,5,0,5,0,7,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,19/20,1
85,387378,95,0,0,2,2,0,0,0,0,0,1,62,46,3,2,17,10,1,1,4,3,3,1,2,0,11,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,19/20,1
86,341835,95,0,0,2,0,0,0,0,0,1,2,51,39,4,2,10,6,0,0,5,3,5,1,4,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
87,340803,95,0,0,0,1,1,0,0,0,0,1,40,32,1,0,11,4,1,0,2,1,4,0,4,0,5,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
88,337650,95,0,0,1,1,0,0,0,0,0,0,44,38,1,0,9,5,1,1,4,1,2,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
89,337635,95,0,0,0,0,0,0,0,0,0,0,54,52,8,4,4,1,0,0,1,1,6,0,6,1,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
90,331248,95,0,0,0,0,0,0,0,0,0,1,61,58,1,0,7,3,0,0,1,1,2,0,2,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
91,327381,95,1,0,3,1,1,3,2,1,0,1,63,51,0,0,7,2,2,2,2,0,0,0,0,1,8,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,19/20,1
92,286044,95,0,0,6,0,0,2,4,2,3,4,25,18,2,1,26,11,5,3,7,3,4,2,2,0,13,2,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,19/20,1
93,269751,95,0,0,4,0,0,0,2,2,3,1,25,21,0,0,15,5,2,1,4,2,1,0,1,0,5,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
94,235545,95,0,0,0,0,0,0,0,0,0,0,47,40,1,0,10,4,0,0,5,2,5,1,4,0,7,1,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
95,217587,95,0,0,4,0,0,3,1,3,0,2,21,16,3,1,15,6,9,4,1,0,2,0,2,0,10,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,19/20,1
96,193488,95,0,0,1,2,1,0,0,0,1,2,25,19,2,2,14,8,3,3,4,2,3,2,1,0,9,0,0,0,1,0,3,3,0,1,0,0,0,0,0,0,0,0,0,19/20,1
97,177432,95,0,0,1,2,0,1,1,0,0,1,20,9,5,3,14,7,6,2,2,2,2,1,1,0,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
98,168969,95,0,0,1,0,0,0,1,0,1,0,31,22,8,6,14,10,0,0,4,3,2,0,2,0,8,4,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,19/20,1
99,168960,95,0,0,1,0,0,0,1,0,0,0,32,28,2,1,10,7,1,1,4,3,4,0,4,0,2,0,0,0,1,0,2,3,0,1,0,0,0,0,0,0,0,0,0,19/20,1
100,166065,95,0,0,0,0,0,0,0,0,0,1,51,42,8,5,10,9,3,3,2,1,10,2,8,0,2,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,19/20,1
101,152196,95,0,0,1,0,0,0,0,0,0,0,32,30,4,2,8,3,1,0,1,1,6,1,5,2,3,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
102,131676,95,1,0,2,0,0,1,1,1,0,0,18,14,4,3,11,6,1,0,2,2,1,0,1,0,11,2,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,19/20,1
103,127644,95,0,0,0,0,0,0,0,0,0,0,17,15,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,19/20,1
104,67815,95,0,0,0,2,1,0,0,0,0,3,21,14,2,1,18,8,7,4,3,3,0,0,0,0,14,5,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
105,46116,95,0,0,0,0,0,0,0,0,0,0,52,48,7,5,6,6,1,1,3,3,14,0,14,1,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
106,46071,95,0,0,1,0,0,0,1,0,1,0,40,35,7,2,11,4,0,0,3,2,2,0,2,0,2,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,19/20,1
107,45969,95,0,0,0,0,0,0,0,0,0,0,31,26,1,1,0,0,0,0,0,0,7,0,7,0,4,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,19/20,1
108,45843,95,0,0,1,0,0,0,1,0,1,0,55,47,4,3,13,11,3,2,7,6,6,1,5,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
109,45831,95,0,1,0,2,1,0,0,0,0,1,47,38,2,2,16,6,3,1,5,2,5,0,5,1,5,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
110,23679,95,0,0,0,0,0,0,0,0,0,0,27,24,0,0,0,0,0,0,0,0,2,0,2,0,3,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,19/20,1
111,46422,91,0,0,2,1,1,1,1,1,0,0,16,12,6,1,10,1,2,1,2,0,0,0,0,0,8,2,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,19/20,1
112,168972,89,0,0,3,0,0,2,0,0,0,0,34,25,0,0,12,6,3,2,3,1,2,0,2,1,9,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,19/20,1
113,178263,88,0,0,2,2,0,2,0,0,0,1,27,22,2,1,19,5,2,0,6,3,4,1,3,0,8,0,0,0,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,19/20,1
114,67380,88,0,0,1,1,1,1,1,0,0,0,13,9,7,2,1,1,0,0,0,0,2,2,0,0,6,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,19/20,1
115,127662,87,0,0,0,0,0,0,0,0,0,0,46,40,7,4,13,6,2,1,5,3,8,2,6,1,6,2,0,0,0,1,5,2,0,1,0,0,0,0,0,0,0,0,0,19/20,1
116,455373,85,0,0,1,2,1,0,1,0,1,0,18,12,4,2,16,4,6,2,3,0,1,0,1,0,12,2,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,19/20,1
117,438387,85,0,0,1,0,0,0,0,0,0,2,31,25,0,0,7,4,2,2,3,1,5,0,5,0,2,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,19/20,1
118,340185,83,0,0,1,0,0,1,0,0,0,2,15,12,4,0,16,7,6,3,9,4,2,1,1,0,7,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,19/20,1
119,28185,82,0,0,0,0,0,0,0,0,0,0,46,41,1,0,9,5,0,0,5,2,6,0,6,1,3,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,19/20,1
120,475806,81,0,0,0,0,0,0,0,0,0,0,45,43,0,0,11,6,1,0,5,3,4,1,3,0,2,1,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,19/20,1
121,327768,80,0,1,2,3,2,0,0,0,1,2,45,42,0,0,5,2,1,0,1,1,5,2,3,0,2,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,19/20,1
122,228027,80,0,0,1,1,1,0,1,0,1,3,42,36,2,2,12,5,2,1,1,0,2,0,2,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,19/20,1
123,331275,79,0,0,1,0,0,1,1,0,0,0,50,43,3,2,11,8,2,2,6,4,7,5,2,0,5,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,19/20,1
124,127665,79,1,0,2,2,0,1,0,0,0,2,58,54,0,0,7,4,3,1,0,0,1,0,1,0,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,19/20,1
125,349665,78,0,0,1,0,0,0,0,0,1,2,12,10,1,0,14,10,10,8,3,2,2,0,2,0,3,0,0,0,1,0,1,3,0,1,1,0,0,0,0,0,0,0,0,19/20,1
126,45855,75,0,0,0,0,0,0,0,0,0,0,11,9,11,2,8,1,1,1,0,0,0,0,0,0,8,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,19/20,1
127,438405,74,0,0,0,0,0,0,0,0,0,0,16,12,4,2,11,8,0,0,4,3,4,1,3,0,5,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,19/20,1
128,22542,73,0,0,0,1,0,0,0,0,0,0,20,18,4,2,11,1,1,0,0,0,0,0,0,0,11,2,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,19/20,1
129,393441,72,0,0,4,0,0,2,3,1,2,1,16,13,1,0,9,3,4,2,1,1,0,0,0,0,6,0,0,0,1,0,2,2,0,1,1,0,0,0,0,0,0,0,0,19/20,1
130,128001,72,0,0,1,0,0,0,1,0,1,1,16,13,6,4,17,9,8,4,2,2,0,0,0,0,9,2,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,19/20,1
131,372897,71,0,0,0,2,1,0,0,0,0,4,34,25,0,0,14,7,11,5,1,0,0,0,0,0,6,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,19/20,1
132,341619,71,0,0,1,0,0,0,0,0,1,0,25,22,1,0,6,4,1,1,4,3,1,0,1,0,5,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,19/20,1
133,182544,71,0,1,1,2,2,0,0,0,0,21,72,58,4,3,12,7,4,1,5,4,4,0,4,0,8,1,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,19/20,1
134,59385,71,0,2,2,4,2,0,0,0,2,6,47,36,0,0,5,3,0,0,2,1,2,2,0,0,6,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,19/20,1
