index,Date of birth,Name,Position,Shirt number,Team,pid,0
58,1991-02-10,Marvin Peersman,Defender,43.0,Hapoel Tel Aviv,13953.0,
59,1987-11-16,Eitan Tibi,Defender,18.0,Maccabi Tel Aviv,13251.0,
60,1988-03-08,Jahmir Hyka,Midfielder,7.0,Maccabi Netanya,8226.0,
61,1989-02-10,Sabien Lilaj,Midfielder,77.0,Sektzia Nes Ziona,7923.0,
62,1992-12-21,Guy Melamed,Forward,10.0,Maccabi Netanya,174690.0,
63,1996-07-10,Tom Shelach,Defender,7.0,Hapoel Kfar Saba,449259.0,
64,1995-03-08,Benjamin Thomas Kuku,Forward,95.0,Hapoel Kfar Saba,394101.0,
65,1993-08-26,Sodiq Ololade Atanda,Defender,36.0,Hapoel Kfar Saba,385071.0,
66,1992-03-22,Itamar Israeli,GK,22.0,Hapoel Kfar Saba,338208.0,
67,1995-01-10,Aviv Solomon,Defender,12.0,Hapoel Kfar Saba,331176.0,
68,1991-02-22,Kevin Raynshtein,Midfielder,10.0,Hapoel Kfar Saba,327831.0,
69,1994-02-23,Eli Belilti,Midfielder,15.0,Hapoel Haifa,228414.0,
70,1992-01-18,Francisco Junior,Midfielder,19.0,Hapoel Haifa,179112.0,
71,1992-03-27,Ben Vahaba,Defender,32.0,Hapoel Haifa,178602.0,
72,1990-10-31,Ness Zamir,Midfielder,11.0,Hapoel Haifa,95478.0,
73,1987-02-18,Jasmin Buric,GK,13.0,Hapoel Haifa,62283.0,
74,1991-08-31,Tal Machlof,Defender,4.0,Hapoel Kfar Saba,46980.0,
75,1990-07-17,Amar Fadida,Midfielder,18.0,Hapoel Kfar Saba,46305.0,
76,1992-12-08,Almog Buzaglo,Forward,77.0,Hapoel Haifa,46035.0,
77,1989-04-30,Dor Malul,Defender,4.0,Hapoel Haifa,45720.0,
78,1989-10-01,Nisso Kapiloto,Defender,55.0,Hapoel Haifa,45717.0,
79,1997-05-18,Jonathan Cissé,Defender,32.0,Hapoel Hadera,493236.0,
80,2000-02-01,Montari Kamaheni,Defender,13.0,SC Ashdod,486096.0,
81,1996-08-06,Timothy Awani,Defender,4.0,SC Ashdod,475149.0,
82,1997-06-03,Leonard Owusu,Midfielder,10.0,SC Ashdod,470916.0,
83,1994-02-10,Rabah Asraf,Defender,3.0,Hapoel Hadera,431055.0,
84,1987-06-23,Itamar Nitzan,GK,1.0,Beitar Jerusalem,402873.0,
85,1996-11-18,Eliel Peretz,Midfielder,7.0,Hapoel Hadera,387378.0,
86,1996-06-27,Shay Konstantini,Defender,77.0,Beitar Jerusalem,341835.0,
87,1996-03-04,Maksim Grechkin,Defender,3.0,Beitar Jerusalem,340803.0,
88,1995-10-07,Ali Muhammad Muhammad Al Faz,Midfielder,55.0,Beitar Jerusalem,337650.0,
89,1996-01-25,Nir Barda,Defender,5.0,SC Ashdod,337635.0,
90,1994-03-13,Wassam Rabah,Defender,6.0,Hapoel Hadera,331248.0,
91,1990-03-30,Shlomy Azulay,Midfielder,8.0,SC Ashdod,327381.0,
92,1995-01-31,Sagiv Jehezkel,Forward,11.0,SC Ashdod,286044.0,
93,1997-10-08,Jimmy Marín,Midfielder,12.0,Hapoel Beer Sheva,269751.0,
94,1992-03-24,George Fochive,Midfielder,26.0,Hapoel Hadera,235545.0,
95,1997-11-20,Levi Garcia,Forward,14.0,Beitar Jerusalem,217587.0,
96,1995-03-02,Ange-Freddy Plumain,Forward,10.0,Beitar Jerusalem,193488.0,
97,1994-04-25,Shoval Gozlan,Forward,7.0,SC Ashdod,177432.0,
98,1995-06-25,Eden Shamir,Midfielder,18.0,Hapoel Beer Sheva,168969.0,
99,1995-06-13,Sean Goldberg,Defender,13.0,Hapoel Beer Sheva,168960.0,
100,1991-03-17,Ofir Kriaf,Midfielder,24.0,Beitar Jerusalem,166065.0,
101,1994-01-29,Antoine  Conte,Defender,2.0,Beitar Jerusalem,152196.0,
102,1988-09-28, Lúcio,Forward,99.0,Hapoel Hadera,131676.0,
103,1992-11-23,Roei Mashpati,GK,90.0,SC Ashdod,127644.0,
104,1990-11-21,Nigel Hasselbaink,Forward,17.0,Hapoel Beer Sheva,67815.0,
105,1989-11-26,Loai Taha,Defender,20.0,Hapoel Beer Sheva,46116.0,
106,1989-02-16,Dan Einbinder,Midfielder,9.0,Beitar Jerusalem,46071.0,
107,1984-04-08,Austin Ejide,GK,33.0,Hapoel Hadera,45969.0,
108,1991-02-23,Maruwan Kabha,Midfielder,8.0,Hapoel Beer Sheva,45843.0,
109,1990-09-15,Hagai Goldenberg,Defender,14.0,Hapoel Hadera,45831.0,
110,1985-05-25,Ernestas Šetkus,GK,1.0,Hapoel Beer Sheva,23679.0,
111,1986-09-08,Eden Ben Basat,Forward,9.0,Hapoel Haifa,46422.0,
112,1995-10-21,Ramzi Safuri,Midfielder,11.0,Hapoel Beer Sheva,168972.0,
113,1994-01-01,Gadi Kinda,Midfielder,15.0,Beitar Jerusalem,178263.0,
114,1989-11-11,Nick Blackman,Forward,9.0,Maccabi Tel Aviv,67380.0,
115,1991-01-03,Ben Bitton,Defender,2.0,Hapoel Beer Sheva,127662.0,
116,1994-12-16,Eugene Ansah,Midfielder,9.0,Hapoel Raanana,455373.0,
117,1998-01-13,Elad Shahaf,Midfielder,28.0,Sektzia Nes Ziona,438387.0,
118,1995-08-07,Sagi Dror,Midfielder,11.0,Hapoel Hadera,340185.0,
119,1989-06-30,Miguel Vitor,Defender,4.0,Hapoel Beer Sheva,28185.0,
120,1997-02-08,Firas Abu Akel,Midfielder,22.0,SC Ashdod,475806.0,
121,1996-11-30,Raz Meir,Midfielder,25.0,Maccabi Haifa,327768.0,
122,1995-06-19,Avishay Cohen,Defender,16.0,Bnei Yehuda,228027.0,
123,1991-07-21,Daniel Solomon,Midfielder,5.0,Hapoel Hadera,331275.0,
124,1992-03-02,Dor Micha,Midfielder,15.0,Maccabi Tel Aviv,127665.0,
125,1997-07-26,Toure Boubacar,Forward,25.0,Hapoel Kfar Saba,349665.0,
126,1989-03-24,Omer Damari,Forward,16.0,Hapoel Tel Aviv,45855.0,
127,1998-03-03,Samuel Broun,Midfielder,8.0,Ironi Kiryat Shmona,438405.0,
128,1988-05-05,Fatos Bećiraj,Forward,21.0,Maccabi Netanya,22542.0,
129,1997-06-09,Muhamad Awad,Forward,9.0,Maccabi Haifa,393441.0,
130,1994-03-23,Omri Altman,Midfielder,7.0,Hapoel Tel Aviv,128001.0,
131,1997-04-02,Amit Zaneti,Midfielder,10.0,Bnei Yehuda,372897.0,
132,1994-05-24,Guy Badash,Forward,25.0,Sektzia Nes Ziona,341619.0,
133,1993-09-26,Dor Elo,Defender,2.0,Bnei Yehuda,182544.0,
134,1988-06-04,Tjarron Chery,Midfielder,10.0,Maccabi Haifa,59385.0,
135,1992-02-24,Richard Vernes,Midfielder,64.0,Hapoel Kfar Saba,123549.0,
136,1987-02-17,Eliran Atar,Forward,16.0,Maccabi Tel Aviv,45756.0,
137,1992-04-12,Ben  Sitelkol,Defender,11.0,Sektzia Nes Ziona,475548.0,
138,1998-11-19,Manamto Asefa,Defender,98.0,SC Ashdod,331359.0,
139,1988-09-01,Almog Cohen,Midfielder,8.0,Maccabi Netanya,40005.0,
140,1996-04-20,Divine Naah,Midfielder,23.0,Hapoel Raanana,246468.0,
141,1993-07-06,Jacob Barihon,Midfielder,77.0,SC Ashdod,185094.0,
142,1989-10-18,Shlomi Azulay,Forward,18.0,Beitar Jerusalem,45654.0,
143,2000-02-13,Yuval Levin,Defender,12.0,Ironi Kiryat Shmona,475770.0,
144,1995-08-29,Dan Azaria,Midfielder,20.0,Hapoel Kfar Saba,449253.0,
145,2002-10-09,Roy Korine,Forward,14.0,Maccabi Netanya,493863.0,
146,1998-01-17,Yoav Tomer,Midfielder,18.0,Hapoel Raanana,438414.0,
147,1996-01-12,Lior Einbrom,Midfielder,10.0,Hapoel Tel Aviv,331362.0,
148,1996-09-06,Moty Barshatzki,Midfielder,21.0,Hapoel Tel Aviv,331494.0,
149,1994-07-02,Liran Sardal,Midfielder,24.0,Hapoel Haifa,286641.0,
150,1985-08-05,Gili Vermouth,Midfielder,14.0,Hapoel Haifa,45891.0,
151,1994-04-13,Kevin Tapoko,Midfielder,7.0,Hapoel Haifa,197109.0,
152,1989-07-09,Gal Arel,Midfielder,6.0,Hapoel Haifa,46410.0,
153,1997-12-31,Kayes Ganem,Forward,12.0,Hapoel Raanana,361389.0,
154,1994-12-31,Iyad Abu Abaid,Defender,5.0,Hapoel Tel Aviv,228417.0,
155,1999-11-14,Yonas Malede,Forward,11.0,Maccabi Netanya,443964.0,
156,1998-06-13,Ben Yosefi,Midfielder,22.0,Hapoel Hadera,471396.0,
157,1994-01-10,John Ruiz,Forward,7.0,Ironi Kiryat Shmona,134076.0,
158,1989-03-02,Liroy Zairi,Midfielder,55.0,Hapoel Kfar Saba,45939.0,
159,1999-09-16,Sean Klimkin,Defender,55.0,Hapoel Raanana,471963.0,
160,1989-08-10,Ben Sahar,Forward,14.0,Hapoel Beer Sheva,45903.0,
161,1990-06-24,Antony Varenne,Forward,7.0,Beitar Jerusalem,331398.0,
162,1993-07-31,Benzion Moshal,Forward,18.0,SC Ashdod,331350.0,
163,1993-12-14,Amir Ben Shimon,Midfielder,23.0,Ironi Kiryat Shmona,179745.0,
164,1996-03-30,Aviv Avraham,Midfielder,15.0,Maccabi Netanya,338289.0,
166,1993-06-14,Shay Mazor,Midfielder,8.0,Bnei Yehuda,328014.0,
167,1991-03-18,Dries Wuytens,Defender,4.0,Sektzia Nes Ziona,127479.0,
168,1987-09-12,Uri Magbo,Defender,28.0,Beitar Jerusalem,46110.0,
169,1999-06-16,Yarden Shua,Forward,11.0,Maccabi Haifa,415695.0,
170,1996-11-14,Muhamad Shaker,Forward,16.0,Ironi Kiryat Shmona,402921.0,
171,1990-10-23,Allyson Dos Santos,Defender,14.0,Bnei Yehuda,402876.0,
172,1992-11-12,Chico Ofoedu,Forward,10.0,Maccabi Tel Aviv,196191.0,
173,1999-03-16,Danny Gruper,Midfielder,14.0,Hapoel Tel Aviv,475797.0,
174,1993-03-09,Eden Shrem,Forward,16.0,Sektzia Nes Ziona,155874.0,
175,1997-01-25,Yahav Afriat,Forward,9.0,Hapoel Kfar Saba,451167.0,
176,1992-03-26,Stav Finish,Midfielder,30.0,Maccabi Netanya,341592.0,
177,2000-01-14,Mohammad Kanaan,Midfielder,6.0,SC Ashdod,443952.0,
178,1993-02-13,Shahar Hirsh,Forward,17.0,Hapoel Tel Aviv,182547.0,
179,1994-04-17,Ariel Matan Lazmi,Midfielder,15.0,Bnei Yehuda,242211.0,
180,1993-09-07,Sun Menachem,Defender,12.0,Maccabi Haifa,341559.0,
181,1988-09-10,Avi Rikan,Midfielder,22.0,Maccabi Tel Aviv,46086.0,
182,1997-07-30,Mahmoud Yousef,Forward,77.0,Hapoel Kfar Saba,472941.0,
183,2000-06-04,Alon Deri,Midfielder,23.0,Hapoel Hadera,485628.0,
184,1998-01-02,Yonatan Levi,Defender,2.0,Sektzia Nes Ziona,373338.0,
185,1995-06-11,David Keltjens,Defender,3.0,Hapoel Beer Sheva,206061.0,
186,1990-07-06,Roy Gordana,Midfielder,9.0,SC Ashdod,45882.0,
187,1994-07-05,Salim Amash,Forward,9.0,Hapoel Hadera,449238.0,
188,1992-01-03,Ruslan Barsky,Midfielder,77.0,Maccabi Tel Aviv,331182.0,
189,1994-04-07,Shelom Edri,Midfielder,19.0,Beitar Jerusalem,341556.0,
190,1993-05-23,Naor Sabag,Defender,55.0,Hapoel Beer Sheva,327870.0,
192,2000-11-08,Gil Cohen,Midfielder,3.0,SC Ashdod,465201.0,
193,1996-03-14,Din David,Forward,14.0,SC Ashdod,331365.0,
194,1996-07-24,Amit Bitton,Defender,26.0,Hapoel Beer Sheva,403095.0,
195,1994-06-16,Oren Bitton,Defender,16.0,Hapoel Beer Sheva,331158.0,
196,1999-01-06,Noam Cohen,Defender,3.0,Sektzia Nes Ziona,443943.0,
197,2000-01-19,Ziv Morgan,Defender,3.0,Ironi Kiryat Shmona,493191.0,
198,1996-10-26,Diogo Verdasca,Defender,5.0,Beitar Jerusalem,308493.0,
199,1994-05-24,Niv Zrihan,Forward,7.0,Hapoel Beer Sheva,179703.0,
200,1992-05-12,Roy Kehat,Midfielder,19.0,Maccabi Netanya,127671.0,
201,1994-03-22,Yarin Hassan,Defender,24.0,Hapoel Hadera,127998.0,
202,1994-04-15,Carlos Rivas,Forward,11.0,Hapoel Raanana,178251.0,
203,1990-08-06,Idan Shemesh,Forward,80.0,Hapoel Raanana,327771.0,
204,1997-06-17,Emmanuel Boateng,Defender,26.0,Hapoel Tel Aviv,473295.0,
205,1995-01-24,Karem Arshid,Forward,14.0,Hapoel Raanana,256953.0,
206,1998-10-17,Shay Golan,Midfielder,21.0,Ironi Kiryat Shmona,429924.0,
207,1982-03-07,Ma'aran Lala,Forward,17.0,Hapoel Haifa,402804.0,
208,1995-01-01,Tariko Getahon,Midfielder,14.0,Hapoel Kfar Saba,337677.0,
209,1991-09-29,Yevgni Berkman,Defender,5.0,Hapoel Kfar Saba,46494.0,
210,1993-01-15,Osher Abu,Defender,5.0,Sektzia Nes Ziona,182523.0,
211,1996-04-23,Or Zehavi,Defender,4.0,Beitar Jerusalem,257397.0,
212,1992-01-05,Trent Sainsbury,Defender,4.0,Maccabi Haifa,94920.0,
213,1996-01-04,Maxim Plakushchenko,Midfielder,27.0,Maccabi Haifa,340806.0,
214,1997-03-08,Noam Gamoun,Defender,17.0,Hapoel Kfar Saba,229368.0,
215,1999-04-04,Yadin Lugasi‎‏,Midfielder,17.0,Ironi Kiryat Shmona,481488.0,
216,1998-03-05,Ben Savir,Midfielder,6.0,Hapoel Raanana,438105.0,
217,1999-08-25,Yonatan Levi,Forward,19.0,Hapoel Hadera,427815.0,
218,1993-09-19,Ben Azubel,Forward,99.0,Bnei Yehuda,174672.0,
219,1994-02-09,Gal Levi,Forward,23.0,Hapoel Beer Sheva,167295.0,
220,1995-09-21,Shahar Piven,Defender,31.0,Maccabi Tel Aviv,331185.0,
221,1988-03-03,Francisco Dutari,Defender,6.0,Sektzia Nes Ziona,10353.0,
222,1991-05-05,Ofir Davidadze,Defender,27.0,Maccabi Tel Aviv,45786.0,
223,1998-06-27,Yahav Gurfinkel,Defender,12.0,Hapoel Hadera,421752.0,
224,1997-03-26,Yarden Cohen,Defender,16.0,Hapoel Raanana,402906.0,
225,1993-01-08,Borja Herrera González,Defender,33.0,Maccabi Netanya,351624.0,
226,1989-03-23,Nikola Gulan,Defender,36.0,Hapoel Haifa,48444.0,
227,1992-10-13,Roi Zickry,Midfielder,21.0,Hapoel Hadera,178944.0,
228,1990-08-23,Stefan Spirovski,Midfielder,8.0,Hapoel Tel Aviv,68343.0,
229,1991-11-25,Nicolas Elsek,Midfielder,77.0,Maccabi Netanya,331452.0,
230,1996-05-30, Silas,Midfielder,26.0,Ironi Kiryat Shmona,256347.0,
231,1990-07-01,Menashe Zalka,Midfielder,15.0,Hapoel Hadera,449250.0,
232,1986-02-17,Ohad Levita,GK,21.0,Hapoel Beer Sheva,47037.0,
233,1991-08-25,Gershon Koffie,Midfielder,28.0,Hapoel Kfar Saba,88278.0,
234,1997-03-10,Eylon Yerushalmi,Midfielder,18.0,Sektzia Nes Ziona,334755.0,
235,2000-05-06,Samuel Alabi,Midfielder,19.0,SC Ashdod,486099.0,
236,1996-07-18,Ali Kna'ana,Forward,27.0,Hapoel Tel Aviv,412008.0,
237,2000-04-11,Eden Karzev,Midfielder,11.0,Ironi Kiryat Shmona,438096.0,
238,1997-02-27,Eithan Velblum,Midfielder,18.0,Bnei Yehuda,334752.0,
239,1993-02-11,Gidi Kanuk,Midfielder,8.0,Hapoel Haifa,182535.0,
240,1987-02-22,Itay Shechter,Forward,11.0,Maccabi Tel Aviv,45906.0,
241,1994-11-11,Raz Cohen,Midfielder,30.0,Hapoel Tel Aviv,195117.0,
242,1989-08-28,Hanan Maman,Midfielder,28.0,Hapoel Beer Sheva,46413.0,
243,1995-11-12,Didier Kogbanie,Midfielder,8.0,Hapoel Hadera,331416.0,
244,1995-02-19,Ben Mizan,Forward,27.0,Hapoel Kfar Saba,427824.0,
245,1996-07-12,Yoel Abuhatzera,Forward,9.0,Ironi Kiryat Shmona,425925.0,
246,1991-04-30,David Boysen,Forward,21.0,Sektzia Nes Ziona,25392.0,
247,1993-01-15,Kahlon Viki,Defender,2.0,Maccabi Netanya,327810.0,
248,1987-05-26,Adrian Ruchet,Midfielder,23.0,Hapoel Kfar Saba,46458.0,
249,1993-05-02,Tamir Adi,Midfielder,23.0,Beitar Jerusalem,327621.0,
250,1982-03-31,Tal Ben Haim,Defender,26.0,Beitar Jerusalem,28323.0,
251,2001-11-21,Zohar Zasno,Midfielder,16.0,SC Ashdod,493869.0,
252,1994-11-07,Aboubacar Camara,Forward,9.0,Hapoel Tel Aviv,129438.0,
253,1991-12-21,Arie Yanko,GK,22.0,Hapoel Tel Aviv,45870.0,
254,1998-04-27,Mohammad Abu Fani,Midfielder,20.0,Hapoel Hadera,373341.0,
255,1992-08-18,Josh Cohen,GK,44.0,Maccabi Haifa,459510.0,
256,1997-06-22,Francis Kyeremeh,Forward,12.0,Hapoel Tel Aviv,495903.0,
257,1997-11-19,Amnon Tadale,Midfielder,99.0,Sektzia Nes Ziona,475554.0,
258,1993-07-17,Naor Aboudi,Midfielder,17.0,SC Ashdod,206088.0,
259,1996-08-12,Matan Hozez,Midfielder,45.0,Maccabi Tel Aviv,337674.0,
260,1989-01-28,Gal Shish,Defender,19.0,Ironi Kiryat Shmona,146802.0,
261,1999-01-08,E Almog,Forward,29.0,Maccabi Tel Aviv,421761.0,
262,1994-05-17,Shimshon Shemor Tsaadon,Defender,77.0,Ironi Kiryat Shmona,475788.0,
263,1991-11-01,Yannick Wildschut,Forward,30.0,Maccabi Haifa,58878.0,
264,1993-10-28,Matija Ljujić,Midfielder,27.0,Bnei Yehuda,391941.0,
265,1988-08-25,Moussa Maazou,Forward,17.0,Sektzia Nes Ziona,35616.0,
266,1997-10-11,Jeando Fuchs,Midfielder,19.0,Maccabi Haifa,245955.0,
267,1993-12-14,Uroš Nikolić,Midfielder,70.0,Maccabi Tel Aviv,179754.0,
268,1999-11-11,I Utin,Defender,3.0,Maccabi Haifa,464985.0,
269,1991-10-07,Eyal Golasa,Midfielder,23.0,Maccabi Tel Aviv,45675.0,
270,1992-07-26,Diya Lababidi,Defender,17.0,Hapoel Hadera,425928.0,
271,1996-12-24,Yehonatan Shabi,GK,55.0,Bnei Yehuda,341730.0,
272,1995-03-02,Tzlil Nechemia,Defender,6.0,Maccabi Netanya,331272.0,
273,1999-02-25,Shay Elias,Midfielder,24.0,Sektzia Nes Ziona,427077.0,
274,1998-08-20,Ron Ashkenazi,Forward,29.0,Maccabi Netanya,426276.0,
275,1998-07-14,Netanel Daloya,GK,22.0,Beitar Jerusalem,472341.0,
276,1993-05-06,Dor Kochav,Midfielder,7.0,Bnei Yehuda,327834.0,
277,1989-02-02,Jakub Sylvestr,Forward,12.0,SC Ashdod,22557.0,
278,1991-11-09,Emery Welshman,Forward,10.0,Hapoel Haifa,205797.0,
279,1990-09-17,Josue Soares,Midfielder,27.0,Hapoel Beer Sheva,59340.0,
280,1988-04-12,Tim Heubach,Defender,31.0,Maccabi Netanya,105726.0,
281,1999-02-02,Tomer Yossefi,Midfielder,15.0,Hapoel Beer Sheva,477345.0,
282,1998-10-18,Amir Rustom,Defender,6.0,Bnei Yehuda,489417.0,
