Season,Gameweek,Date,Day,Game time,Home team,Away team,Home team score,Away team score,Winner,Stadium
19/20,7,2019-10-19,Sat,19:00,Hapoel Beer Sheva,Ironi Kiryat Shmona,2,1,Hapoel Beer Sheva,Turner Toto
19/20,7,2019-10-19,Sat,20:30,Sektzia Nes Ziona,Beitar Jerusalem,0,4,Beitar Jerusalem,HaMoshava
19/20,7,2019-10-21,Mon,18:00,Hapoel Raanana,Hapoel Haifa,0,0,Draw,HaMoshava
19/20,7,2019-10-21,Mon,20:00,SC Ashdod,Maccabi Tel Aviv,0,1,Maccabi Tel Aviv,Yud-Alef
19/20,7,2019-10-21,Mon,20:15,Maccabi Haifa,Bnei Yehuda,1,1,Draw,Sammi Ofer
19/20,8,2019-10-26,Sat,16:00,Hapoel Haifa,Hapoel Tel Aviv,3,0,Hapoel Haifa,Sammi Ofer
19/20,8,2019-10-26,Sat,18:00,Ironi Kiryat Shmona,Hapoel Raanana,2,1,Ironi Kiryat Shmona,Kiryat Shmona
19/20,8,2019-10-26,Sat,19:30,Maccabi Netanya,SC Ashdod,2,4,SC Ashdod,Netanya
19/20,8,2019-10-26,Sat,20:30,Hapoel Kfar Saba,Maccabi Haifa,0,3,Maccabi Haifa,HaMoshava
19/20,8,2019-10-27,Sun,19:00,Sektzia Nes Ziona,Hapoel Hadera,2,2,Draw,HaMoshava
19/20,8,2019-10-27,Sun,20:15,Bnei Yehuda,Beitar Jerusalem,0,2,Beitar Jerusalem,Bloomfield Stadium
19/20,8,2019-10-28,Mon,20:15,Maccabi Tel Aviv,Hapoel Beer Sheva,2,0,Maccabi Tel Aviv,Bloomfield Stadium
19/20,16,2019-12-28,Sat,,Hapoel Beer Sheva,SC Ashdod,0,0,Draw,
